Código PUCP,PROMEDIO FINAL
19916371,17.58
20068082,17.98
20100426,18.7
20223825,14.63
20223829,16.88
20223882,4.65
20223921,14.5
20223922,15.15
20223946,18.65
20224004,17.75
20224019,17.15
20224030,17.5
20224066,17.25
20224094,16.7
20224137,17.25
20224138,13
20224147,17.3
20224152,16.73
20224182,18.62
20224183,18.88
20224214,16.53
20224215,18.73
20224223,16.88
20224225,16.88
20224241,16.75
20224353,14.35
20224403,17.12
20224731,16.52
