Resultados Elecciones Generales Presidenciales 2021 - 

"CALLAO"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"770,616","580,103","75.278"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","4,230","0.850"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1,626","0.327"
"PARTIDO MORADO","15,343","3.084"
"PERU PATRIA SEGURA","2,590","0.521"
"VICTORIA NACIONAL","41,761","8.395"
"ACCION POPULAR","33,065","6.647"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","75,118","15.101"
"PODEMOS PERU","45,639","9.175"
"JUNTOS POR EL PERU","36,167","7.271"
"PARTIDO POPULAR CRISTIANO - PPC","20,881","4.198"
"FUERZA POPULAR","75,349","15.147"
"UNION POR EL PERU","2,374","0.477"
"RENOVACION POPULAR","73,957","14.867"
"RENACIMIENTO UNIDO NACIONAL","1,935","0.389"
"PARTIDO DEMOCRATICO SOMOS PERU","8,949","1.799"
"PARTIDO POLITICO NACIONAL PERU LIBRE","31,954","6.424"
"DEMOCRACIA DIRECTA","2,079","0.418"
"ALIANZA PARA EL PROGRESO","24,429","4.911"
"TOTAL DE VOTOS VÁLIDOS","497,446","100.000"
"VOTOS EN BLANCO","53,487",""
"VOTOS NULOS","29,170",""
"TOTAL DE VOTOS EMITIDOS","580,103",""
""
""
"Actas","Actas Procesadas 99.964%","Actas Enviadas al JNE"
"2,754","2,753","179"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"2,753","0","1"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"13","100","3","8","0","0","0","0","8","47"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"0","0"
""
""
"ACTAS POR PROCESAR(0.036)%"
"1"
""
""
